species;sex;age;season;weight;total_length;wither_height;neck_size;temperature;hematocrit;health_condition;haemoplasma;anaplasma;tick;microfilaria;trypanosome;babesia;bloodparasite;female_reproductive_status
Bt;M;A;D;4.22;52;41;NA;NA;50;G;0;1;0;1;0;0;1;NA
Bt;M;J;D;2.26;50;40;NA;32.16;38;G;0;0;1;1;0;0;1;NA
Bt;M;A;W;4.78;54;48;13.5;NA;41;G;0;1;0;1;0;0;1;NA
Bt;M;A;W;3.98;53;45;13;< 32.00;35;G;0;1;0;1;0;0;1;NA
Bt;M;A;W;4.9;53;48;15;< 32.00;34;G;0;1;0;1;0;0;1;NA
Bt;F;A;W;4.3;53;43;13.5;NA;34;G;0;1;0;1;0;0;1;Female non pregnant non lactating
Bt;M;A;W;5.12;53;47;16;< 32.00;28;G;0;0;0;1;0;0;1;NA
Bt;M;A;W;4.04;51;44.5;14;< 32.00;45;G;0;1;0;0;0;0;0;NA
Bt;F;A;W;4.54;52.5;47.5;12;NA;35;G;0;0;0;0;0;0;0;Female non pregnant non lactating
Bt;M;A;W;3.68;49.5;42;NA;NA;37;G;0;0;0;0;0;0;0;NA
Bt;F;A;W;5;57.5;46;NA;< 32.00;42;G;0;0;0;0;0;0;0;Pregnant female
Bt;M;A;W;4.24;49;48;NA;NA;45;G;0;0;0;0;0;0;0;NA
Bt;M;A;W;4.48;54;44.5;NA;NA;34;G;0;1;0;0;0;0;0;NA
Bt;M;A;W;4.08;53;NA;NA;< 32.00;37;G;0;1;0;0;0;0;0;NA
Bt;F;A;W;4.72;53;42;NA;NA;40;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;4.9;53;49;NA;< 32.00;43;G;0;1;0;0;0;0;0;Pregnant female
Bt;M;A;W;5.3;50;45;NA;NA;34;G;0;1;0;0;0;0;0;NA
Bt;M;A;W;4.44;54;49;NA;NA;40;G;0;1;0;0;0;0;0;NA
Bt;F;A;W;4.6;55;42;NA;NA;48;G;0;1;0;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;4.22;58;45;NA;NA;43;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Bt;M;A;W;5.5;58;52;NA;33.1;46;G;0;1;0;1;0;0;1;NA
Bt;F;A;W;4.12;57;45;NA;NA;48;G;1;0;0;0;0;0;0;Female non pregnant non lactating
Bt;F;A;W;4.64;55.3;53;NA;NA;33;G;0;1;0;1;0;0;1;Pregnant female
Bt;M;A;W;5.3;51;48.5;NA;NA;39;G;0;1;0;0;0;0;0;NA
